dataset,learning_rate,epochs,batch_size,activation,nodes_per_layer,num_layers,optimizer,target_indices,target_vals,mod_indices,new_vals,threshold,strategy,loss,epsilon,lrdecay,method,fixed_seed,chtc_num,min_acc_test,avg_acc_test,max_acc_test,stdev_acc_test,min_acc_train,avg_acc_train,max_acc_train,stdev_acc_train,top1,top1_25,top1_75,top2,top2_25,top2_75,top3,top3_25,top3_75,top4,top4_25,top4_75,top5,top5_25,top5_75,gradnorm,gradnorm_25,gradnorm_75
whobin,0.3,10,128,soft,100,5,sgd,0,0,0,0,0.2,random,None,0.0,0.8,softplus,1,10481422,0.8114754098360656,0.8454098360655738,0.8729508196721312,0.010690220232704611,0.8592896174863388,0.8728506375227688,0.8934426229508197,0.005155414243708604,1.0,1.0,1.0,0.99,0.8933333333333333,1.0,0.9611784511784502,0.8826936026935879,0.9933333333333333,0.9455555555555556,0.8751388888888889,0.995,0.952060606060626,0.8931313131313565,0.9880404040404066,0.009563248770597116,0.005135457224269396,0.01174608895434556
whobin,0.001,10,128,soft,75,5,adam,0,0,0,0,0.01,random,None,0.0,0.8,softplus,1,10481418,0.8702185792349727,0.8716666666666658,0.8879781420765027,0.0021059530789664578,0.906648451730419,0.912700364298725,0.9157559198542805,0.0013374263448525578,1.0,1.0,1.0,0.99,0.99,1.0,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.99,0.9851010101010101,0.995,0.9919999999999999,0.965696969696984,0.9919999999999999,0.014336989718676502,0.011061925807829458,0.017585586475074994
whobin,0.3,10,128,relu,75,5,sgd,0,0,0,0,0.5,random,None,0.2,0.8,adversarial,1,10481417,0.7595628415300546,0.7974043715846996,0.8579234972677595,0.022912161691853773,0.7563752276867031,0.7978460837887066,0.8574681238615665,0.019473404143431475,0.9408080808080808,0.7172222222222222,1.0,0.7063636363636364,0.6278282828282828,0.8246969696969697,0.6991919191919004,0.6146969696969637,0.78441077441075,0.7144949494949495,0.6269949494949495,0.8034974747474748,0.7171111111111219,0.6483838383838291,0.8581919191919702,0.03266489787612551,0.0238583065969985,0.06271566374998813
whobin,0.3,10,128,relu,75,5,sgd,0,0,0,0,0.5,random,None,0.2,0.8,adversarial,1,10481416,0.7595628415300546,0.7974043715846996,0.8579234972677595,0.022912161691853773,0.7563752276867031,0.7978460837887066,0.8574681238615665,0.019473404143431475,0.9408080808080808,0.7172222222222222,1.0,0.7063636363636364,0.6278282828282828,0.8246969696969697,0.6991919191919004,0.6146969696969637,0.78441077441075,0.7144949494949495,0.6269949494949495,0.8034974747474748,0.7171111111111219,0.6483838383838291,0.8581919191919702,0.03266489787612551,0.0238583065969985,0.06271566374998813
whobin,0.001,10,128,relu,25,5,adam,0,0,0,0,0.5,random,None,0.0,0.8,standard,0,10481453,0.8005464480874317,0.8453005464480872,0.8934426229508197,0.015380984889430556,0.8342440801457195,0.8512021857923497,0.9025500910746812,0.008353122312849013,0.6448484848484849,0.38702020202020204,0.7253030303030303,0.4984848484848485,0.41997474747474745,0.577020202020202,0.5014814814814845,0.47803030303030114,0.547104377104374,0.5222474747474748,0.5031186868686869,0.5402525252525252,0.5318383838383816,0.5128383838383798,0.5552525252525184,0.3678857677558613,0.3376386825863897,0.47647488079782285
whobin,0.001,10,128,soft,100,5,adam,0,0,0,0,0.05,random,None,0.0,0.8,softplus,0,10481461,0.8674863387978142,0.8778688524590165,0.8879781420765027,0.0045800695667323,0.8907103825136612,0.9130236794171218,0.9230418943533698,0.005430602327019974,0.98,0.98,1.0,0.7645454545454545,0.7425252525252525,0.8211111111111111,0.9539393939393899,0.9289562289562305,0.9674747474747434,0.7903535353535354,0.7737247474747475,0.8047601010101011,0.7359393939394043,0.7020505050504966,0.7645858585858794,0.944266103142638,0.690546463170107,1.0301433304002072
whobin,0.001,10,128,relu,50,5,adam,0,0,0,0,0.3,random,None,0.0,0.8,standard,1,10481409,0.8538251366120219,0.8665437158469943,0.8907103825136612,0.006096310518742944,0.8638433515482696,0.8857149362477235,0.9216757741347905,0.0065890675109759045,0.7262626262626263,0.590050505050505,0.9412121212121212,0.630050505050505,0.4797979797979798,0.7178282828282828,0.628484848484837,0.4747811447811436,0.7355723905723597,0.66260101010101,0.5099368686868686,0.7561616161616161,0.6953535353535387,0.5395454545454553,0.7906262626262923,0.07630042362074241,0.0466362731201366,0.169338402109224
whobin,0.2,10,128,relu,50,5,sgd,0,0,0,0,0.4,random,None,0.0,0.8,standard,0,10481451,0.7390710382513661,0.840983606557377,0.8770491803278688,0.027358582605155148,0.8210382513661202,0.8503187613843347,0.8998178506375227,0.010907405121816021,0.74,0.5146969696969697,0.8103535353535354,0.5078787878787879,0.4597979797979798,0.5497474747474748,0.4935690235690263,0.46946127946128113,0.5169865319865314,0.5008333333333334,0.4603409090909091,0.5316161616161617,0.5197171717171698,0.4642727272727283,0.5568282828282823,0.1179225746172653,0.10248070519090488,0.16614225731859814
whobin,0.001,10,128,relu,50,5,adam,0,0,0,0,0.3,random,None,0.2,0.8,adversarial,1,10481412,0.8387978142076503,0.848169398907104,0.8838797814207651,0.005786353737517391,0.7600182149362478,0.7881238615664846,0.8419854280510018,0.011605337552544288,0.8668686868686869,0.5642424242424242,0.9604040404040404,0.6979797979797979,0.6260858585858586,0.8245959595959595,0.7228956228955948,0.6398484848484693,0.8136868686868489,0.7412121212121212,0.6464141414141414,0.8324368686868686,0.7488080808080961,0.6566161616161659,0.8605454545454906,0.06434375336932807,0.05262258350828472,0.0893240337465806
whobin,0.001,10,128,relu,50,5,adam,0,0,0,0,0.2,random,None,0.0,0.8,standard,0,10481453,0.8265027322404371,0.868169398907104,0.9057377049180327,0.013785635484356386,0.889344262295082,0.9019899817850636,0.9266848816029144,0.005845070230758701,0.7844444444444445,0.6683838383838383,0.8644444444444445,0.5829292929292929,0.5407828282828283,0.6687878787878787,0.5719865319865294,0.5450336700336679,0.6172558922558814,0.5821717171717171,0.5587121212121212,0.6006565656565657,0.5853333333333262,0.5604646464646419,0.6150101010101003,0.5660857800507559,0.4698596906850197,0.7172481485335056
whobin,0.3,10,128,soft,75,5,sgd,0,0,0,0,0.3,random,None,0.0,0.8,softplus,1,10481422,0.8046448087431693,0.8248497267759564,0.8620218579234973,0.008303707528614802,0.8087431693989071,0.8274590163934425,0.8916211293260473,0.009470781614725065,1.0,0.98,1.0,0.9704040404040404,0.8445454545454546,0.99,0.8729629629629503,0.8181144781144482,0.9673569023569009,0.8819696969696971,0.8445454545454546,0.9495454545454546,0.8978585858586272,0.8618585858586244,0.9457070707070938,0.007497474667116224,0.004683958731966433,0.012637507025617467
whobin,0.001,10,128,relu,100,5,adam,0,0,0,0,0.1,random,None,0.2,0.8,adversarial,0,10481449,0.8387978142076503,0.8595765027322405,0.8852459016393442,0.00915870265559821,0.7891621129326047,0.8257513661202185,0.8542805100182149,0.013281201741821727,0.6207070707070708,0.43106060606060603,0.9406060606060606,0.5723737373737374,0.5277272727272727,0.6203030303030304,0.5488888888888867,0.47555555555555346,0.6612289562289498,0.5460858585858586,0.4693055555555556,0.6815025252525252,0.5495959595959569,0.4763737373737408,0.6801010101010158,0.3960824282788289,0.3030286142656907,0.6386323987584496
whobin,0.3,10,128,relu,50,5,sgd,0,0,0,0,0.1,random,None,0.0,0.8,standard,0,10481450,0.7923497267759563,0.8623770491803282,0.8852459016393442,0.01606178629010077,0.8670309653916212,0.8932513661202184,0.9143897996357013,0.0078048876362419835,0.9040404040404041,0.8654545454545455,0.9406060606060606,0.8157575757575758,0.6608838383838384,0.8930555555555556,0.6619191919191747,0.6108754208754141,0.6931481481481225,0.5998484848484849,0.5721843434343434,0.6337626262626262,0.5810505050504932,0.5550303030302964,0.6133232323232249,0.21183763356929347,0.19890273885747312,0.26962605952325247
whobin,0.001,10,128,soft,100,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481461,0.8674863387978142,0.87775956284153,0.8907103825136612,0.004746083313339948,0.8961748633879781,0.9143943533697635,0.924863387978142,0.005148940349560803,0.98,0.98,1.0,0.7656060606060606,0.7439393939393939,0.8265909090909092,0.9486531986531981,0.9287878787878755,0.9734006734006734,0.7903030303030303,0.7688005050505051,0.8038510101010101,0.7359393939394078,0.6945959595959506,0.7620909090909302,0.9591680357902094,0.7083884229543551,1.0477099632127793
whobin,0.001,10,128,relu,25,5,adam,0,0,0,0,0.1,random,None,0.2,0.8,adversarial,1,10481412,0.8442622950819673,0.8511065573770489,0.8729508196721312,0.003512257621061315,0.7759562841530054,0.792554644808743,0.8319672131147541,0.0076820224939127876,1.0,0.98,1.0,0.9423737373737373,0.7762626262626262,0.99,0.871481481481466,0.8030134680134386,0.9674747474747499,0.8733080808080809,0.8156691919191918,0.9519570707070707,0.8748282828283297,0.826101010101044,0.9270202020202238,0.08788154114216118,0.06310719396800948,0.11571131188720837
whobin,0.3,10,128,soft,100,5,sgd,0,0,0,0,0.4,random,None,0.0,0.8,softplus,1,10481422,0.7991803278688525,0.8456830601092895,0.8729508196721312,0.016069104849672618,0.8269581056466302,0.8475273224043716,0.8934426229508197,0.007640523918411899,1.0,0.98,1.0,0.9236363636363636,0.8031313131313131,0.99,0.9020875420875369,0.8129124579124247,0.9868013468013496,0.8586363636363636,0.814040404040404,0.9017424242424242,0.870808080808122,0.8280101010101426,0.9099494949495299,0.01282689948253655,0.006436933445398892,0.01475066800965496
whobin,0.3,10,128,relu,75,5,sgd,0,0,0,0,0.2,random,None,0.2,0.8,adversarial,1,10481415,0.7581967213114754,0.7965846994535518,0.8633879781420765,0.019816278950990408,0.7932604735883424,0.8341666666666662,0.8706739526411658,0.016389654363956944,0.9604040404040404,0.7178282828282828,1.0,0.7047474747474748,0.6065151515151515,0.8443686868686868,0.6934343434343309,0.5733164983164978,0.838131313131286,0.6873989898989898,0.5760732323232324,0.8277020202020202,0.6908080808080841,0.5930808080808005,0.8424040404040838,0.03953702665113419,0.020634407082709513,0.05772642606189813
